Station	Date(NZST)	Height(m)	Pressure(hPa)	Tair(C)	Tdew(C)	Dir(degT)	Speed(m/s)	StdFlag	RsdFlag	WndFlag	IceFlag	TurFlag	Orig	
17355	20120803:1200	794	922.0	9.0	-	-	-	N	1	-	-	-	U	
17355	20120803:1200	884	912.0	6.8	-	-	-	N	1	-	-	-	U	
17355	20120803:1200	965	903.0	7.4	-	-	-	N	1	-	-	-	U	
17355	20120803:1200	1459	850.0	3.4	-	35	7.2	Y	0	0	0	P	U	
17355	20120803:1200	1957	799.0	-0.7	-	-	-	N	1	-	-	-	U	
17355	20120803:1200	3001	700.0	-6.7	-	40	3.1	Y	0	0	0	P	U	
17355	20120803:1200	4138	604.0	-13.3	-	-	-	N	1	-	-	-	U	
17355	20120803:1200	5547	500.0	-24.1	-	345	9.3	Y	0	0	1	P	U	
17355	20120803:1200	6274	452.0	-30.5	-	-	-	N	1	-	-	-	U	
17355	20120804:1200	7	1012.2	15.7	10.8	59	2.1	Y	4	4	-	H	U	
17355	20120804:1200	59	1006.0	14.6	-	-	-	N	1	-	-	-	U	
17355	20120804:1200	109	1000.0	14.0	-	130	3.6	Y	0	0	3	P	U	
17355	20120804:1200	355	971.0	10.8	-	-	-	N	1	-	-	-	U	
17355	20120804:1200	424	963.0	11.8	-	-	-	N	1	-	-	-	U	
17355	20120804:1200	450	960.0	10.0	-	-	-	N	1	-	-	-	U	
17355	20120804:1200	633	939.0	8.4	-	-	-	N	1	-	-	-	U	
17355	20120804:1200	757	925.0	8.8	-	85	4.6	Y	0	0	1	P	U	
17355	20120804:1200	838	916.0	8.2	-	-	-	N	1	-	-	-	U	
17355	20120804:1200	955	903.0	5.8	-	-	-	N	1	-	-	-	U	
17355	20120804:1200	1447	850.0	2.6	-	60	5.7	Y	0	0	0	P	U	
17355	20120804:1200	1485	846.0	2.2	-	-	-	N	1	-	-	-	U	
17355	20120804:1200	2988	700.0	-6.9	-	45	6.2	Y	0	0	0	P	U	
17355	20120804:1200	4088	607.0	-12.9	-	-	-	N	1	-	-	-	U	
17355	20120804:1200	5536	500.0	-23.9	-	30	4.6	Y	0	0	1	P	U	
17355	20120804:1200	6263	452.0	-30.5	-	-	-	N	1	-	-	-	U	
17355	20120805:1200	7	1008.0	14.4	11.0	42	2.6	Y	4	4	-	H	U	
17355	20120805:1200	49	1003.0	12.2	-	-	-	N	1	-	-	-	U	
17355	20120805:1200	74	1000.0	11.4	-	255	1.5	Y	0	0	6	P	U	
17355	20120805:1200	719	925.0	7.4	-	35	3.6	Y	0	0	3	P	U	
17355	20120805:1200	1408	850.0	2.6	-	40	3.6	Y	0	0	2	P	U	
17355	20120805:1200	1875	802.0	-0.5	-	-	-	N	1	-	-	-	U	
17355	20120805:1200	2949	700.0	-6.7	-	25	5.7	Y	0	0	2	P	U	
17355	20120805:1200	3500	652.0	-10.5	-	-	-	N	1	-	-	-	U	
17355	20120805:1200	3595	644.0	-10.1	-	-	-	N	1	-	-	-	U	
17355	20120805:1200	5495	500.0	-23.7	-	25	4.6	Y	0	0	2	P	U	
17355	20120805:1200	6224	452.0	-29.9	-	-	-	N	1	-	-	-	U	
17355	20120806:1200	7	1009.5	14.9	12.4	262	2.9	Y	4	4	-	H	U	
17355	20120806:1200	62	1003.0	13.2	-	-	-	N	1	-	-	-	U	
17355	20120806:1200	87	1000.0	14.0	-	250	6.7	Y	0	0	5	P	U	
17355	20120806:1200	95	999.0	14.0	-	-	-	N	1	-	-	-	U	
17355	20120806:1200	736	925.0	8.4	-	245	7.7	Y	0	0	3	P	U	
17355	20120806:1200	934	903.0	5.6	-	-	-	N	1	-	-	-	U	
17355	20120806:1200	1425	850.0	2.6	-	255	6.7	Y	0	0	2	P	U	
17355	20120806:1200	2968	700.0	-6.5	-	250	6.7	Y	0	0	1	P	U	
17355	20120806:1200	3321	669.0	-8.5	-	-	-	N	1	-	-	-	U	
17355	20120806:1200	5451	504.0	-24.5	-	-	-	N	1	-	-	-	U	
17355	20120806:1200	5509	500.0	-24.5	-	255	11.8	Y	0	0	1	P	U	
17355	20120807:1200	7	1009.5	15.2	11.3	17	5.8	Y	4	4	-	H	U	
17355	20120807:1200	62	1003.0	13.8	-	-	-	N	1	-	-	-	U	
17355	20120807:1200	87	1000.0	14.4	-	25	7.7	Y	0	0	5	P	U	
17355	20120807:1200	738	925.0	9.0	-	355	9.8	Y	0	0	2	P	U	
17355	20120807:1200	855	912.0	7.2	-	-	-	N	1	-	-	-	U	
17355	20120807:1200	1241	870.0	5.6	-	-	-	N	1	-	-	-	U	
17355	20120807:1200	1401	853.0	2.6	-	-	-	N	1	-	-	-	U	
17355	20120807:1200	1430	850.0	3.6	-	345	11.3	Y	1	0	2	P	U	
17355	20120807:1200	2978	700.0	-5.7	-	310	13.4	Y	1	0	1	P	U	
17355	20120808:1200	7	1003.8	10.8	9.1	341	3.1	Y	4	4	-	H	U	
17355	20120808:1200	39	1000.0	9.4	-	360	1.5	Y	0	0	7	P	U	
17355	20120808:1200	679	925.0	4.6	-	270	7.7	Y	0	0	4	P	U	
17355	20120808:1200	1360	850.0	-1.3	-	275	11.8	Y	1	0	3	P	U	
17355	20120808:1200	1821	802.0	-3.9	-	-	-	N	1	-	-	-	U	
17355	20120808:1200	2173	767.0	-4.1	-	-	-	N	1	-	-	-	U	
17355	20120808:1200	2297	755.0	-7.5	-	-	-	N	1	-	-	-	U	
17355	20120808:1200	2328	752.0	-5.9	-	-	-	N	1	-	-	-	U	
17355	20120808:1200	2885	700.0	-9.5	-	300	10.3	Y	0	0	3	P	U	
17355	20120808:1200	4712	549.0	-23.7	-	-	-	N	1	-	-	-	U	
17355	20120809:0000	7	1000.3	9.4	8.8	282	4.2	Y	4	4	-	H	U	
17355	20120809:0000	9	1000.0	9.4	-	50	3.6	Y	0	0	7	P	U	
17355	20120809:0000	17	999.0	9.4	-	-	-	N	1	-	-	-	U	
17355	20120809:0000	649	925.0	5.2	-	260	5.7	Y	0	0	4	P	U	
17355	20120809:0000	764	912.0	3.4	-	-	-	N	1	-	-	-	U	
17355	20120809:0000	935	893.0	3.6	-	-	-	N	1	-	-	-	U	
17355	20120809:0000	1333	850.0	0.2	-	275	10.8	Y	0	0	4	P	U	
17355	20120809:0000	2862	700.0	-8.9	-	260	12.9	Y	0	0	3	P	U	
17355	20120809:0000	3409	652.0	-12.1	-	-	-	N	1	-	-	-	U	
17355	20120809:1200	7	1003.1	14.1	9.9	225	7.9	Y	4	4	-	H	U	
17355	20120809:1200	33	1000.0	12.0	-	205	7.7	Y	0	0	7	P	U	
17355	20120809:1200	678	925.0	6.6	-	180	10.8	Y	0	0	4	P	U	
17355	20120809:1200	1307	856.0	1.2	-	-	-	N	1	-	-	-	U	
17355	20120809:1200	1364	850.0	1.0	-	215	11.8	Y	0	0	3	P	U	
17355	20120809:1200	1830	802.0	-0.5	-	-	-	N	1	-	-	-	U	
17355	20120809:1200	2361	750.0	-4.9	-	-	-	N	1	-	-	-	U	
17355	20120809:1200	2901	700.0	-7.1	-	195	7.7	Y	1	0	2	P	U	
17355	20120809:1200	5394	502.0	-27.5	-	-	-	N	1	-	-	-	U	
17355	20120809:1200	5423	500.0	-27.5	-	220	14.9	Y	0	0	2	P	U	
17355	20120810:0000	7	1006.8	11.8	10.0	225	5.1	Y	4	4	-	H	U	
17355	20120810:0000	64	1000.0	11.8	-	215	5.1	Y	0	0	6	P	U	
17355	20120810:0000	72	999.0	11.8	-	-	-	N	1	-	-	-	U	
17355	20120810:0000	709	925.0	6.6	-	210	10.3	Y	0	0	3	P	U	
17355	20120810:0000	825	912.0	5.8	-	-	-	N	1	-	-	-	U	
17355	20120810:1200	7	1011.9	14.3	9.7	206	1.7	Y	4	4	-	H	U	
17355	20120810:1200	23	1010.0	14.2	-	-	-	N	1	-	-	-	U	
17355	20120810:1200	107	1000.0	13.6	-	275	2.1	Y	0	0	3	P	U	
17355	20120810:1200	756	925.0	8.0	-	150	1.0	Y	0	0	1	P	U	
17355	20120810:1200	1044	893.0	4.8	-	-	-	N	1	-	-	-	U	
17355	20120810:1200	1173	879.0	5.6	-	-	-	N	1	-	-	-	U	
17355	20120810:1200	1257	870.0	4.0	-	-	-	N	1	-	-	-	U	
17355	20120810:1200	1446	850.0	3.8	-	140	2.1	Y	0	0	0	P	U	
17355	20120810:1200	1916	802.0	2.0	-	-	-	N	1	-	-	-	U	
17355	20120810:1200	2432	752.0	-1.1	-	-	-	N	1	-	-	-	U	
17355	20120810:1200	2453	750.0	-2.7	-	-	-	N	1	-	-	-	U	
17355	20120810:1200	2998	700.0	-4.1	-	260	5.1	Y	1	0	0	P	U	
17355	20120810:1200	3589	649.0	-8.5	-	-	-	N	1	-	-	-	U	
17355	20120811:1200	7	1013.9	15.7	11.4	51	8.2	Y	4	4	-	H	U	
17355	20120811:1200	40	1010.0	15.2	-	-	-	N	1	-	-	-	U	
17355	20120811:1200	124	1000.0	13.8	-	55	10.3	Y	0	0	4	P	U	
17355	20120811:1200	774	925.0	8.6	-	35	10.3	Y	0	0	0	P	U	
17355	20120811:1200	1008	899.0	6.0	-	-	-	N	1	-	-	-	U	
17355	20120811:1200	1464	850.0	3.6	-	20	14.4	Y	0	0	0	P	U	
17355	20120811:1200	2452	752.0	0.4	-	-	-	N	1	-	-	-	U	
17355	20120811:1200	3022	700.0	-3.9	-	335	11.8	Y	0	0	0	P	U	
17355	20120811:1200	5595	500.0	-20.5	-	355	9.3	Y	0	0	0	P	U	
17355	20120811:1200	6334	452.0	-25.9	-	-	-	N	1	-	-	-	U	
17355	20120812:1200	7	1002.7	15.6	14.1	346	4.5	Y	4	4	-	H	U	
17355	20120812:1200	30	1000.0	14.6	-	320	4.6	Y	0	0	7	P	U	
17355	20120812:1200	192	981.0	13.8	-	-	-	N	1	-	-	-	U	
17355	20120812:1200	408	956.0	10.4	-	-	-	N	1	-	-	-	U	
17355	20120812:1200	434	953.0	12.0	-	-	-	N	1	-	-	-	U	
17355	20120812:1200	682	925.0	10.0	-	300	6.2	Y	0	0	4	P	U	
17355	20120812:1200	709	922.0	10.0	-	-	-	N	1	-	-	-	U	
17355	20120812:1200	826	909.0	7.4	-	-	-	N	1	-	-	-	U	
17355	20120812:1200	1009	889.0	7.4	-	-	-	N	1	-	-	-	U	
17355	20120812:1200	1376	850.0	4.4	-	300	8.2	Y	0	0	3	P	U	
17355	20120812:1200	1845	802.0	0.0	-	-	-	N	1	-	-	-	U	
17355	20120812:1200	2923	700.0	-5.5	-	325	11.3	Y	0	0	2	P	U	
17355	20120812:1200	3477	652.0	-8.7	-	-	-	N	1	-	-	-	U	
17355	20120812:1200	4064	604.0	-13.5	-	-	-	N	1	-	-	-	U	
17355	20120812:1200	4089	602.0	-12.3	-	-	-	N	1	-	-	-	U	
17355	20120812:1200	4346	582.0	-15.3	-	-	-	N	1	-	-	-	U	
17355	20120812:1200	4731	553.0	-16.5	-	-	-	N	1	-	-	-	U	
17355	20120812:1200	5451	502.0	-22.1	-	-	-	N	1	-	-	-	U	
17355	20120812:1200	5480	500.0	-22.1	-	330	15.4	Y	0	0	2	P	U	
17355	20120813:1200	7	1003.1	15.7	11.7	268	7.0	Y	4	4	-	H	U	
17355	20120813:1200	33	1000.0	13.8	-	275	3.6	Y	0	0	7	P	U	
17355	20120813:1200	682	925.0	8.2	-	260	9.8	Y	0	0	4	P	U	
17355	20120813:1200	852	906.0	6.2	-	-	-	N	1	-	-	-	U	
17355	20120813:1200	1371	850.0	3.0	-	265	9.3	Y	0	0	3	P	U	
17355	20120813:1200	2256	761.0	-3.3	-	-	-	N	1	-	-	-	U	
17355	20120813:1200	2319	755.0	-3.7	-	-	-	N	1	-	-	-	U	
17355	20120813:1200	2350	752.0	-5.9	-	-	-	N	1	-	-	-	U	
17355	20120813:1200	2878	703.0	-5.9	-	-	-	N	1	-	-	-	U	
17355	20120813:1200	2911	700.0	-6.3	-	285	12.9	Y	0	0	2	P	U	
17355	20120813:1200	3346	662.0	-8.1	-	-	-	N	1	-	-	-	U	
17355	20120813:1200	3440	654.0	-9.9	-	-	-	N	1	-	-	-	U	
17355	20120813:1200	4712	553.0	-18.9	-	-	-	N	1	-	-	-	U	
17355	20120814:0000	7	1007.1	11.8	11.3	318	2.0	Y	4	4	-	H	U	
17355	20120814:0000	66	1000.0	11.6	-	320	3.1	Y	0	0	6	P	U	
17355	20120814:0000	74	999.0	11.6	-	-	-	N	1	-	-	-	U	
17355	20120814:0000	133	992.0	12.6	-	-	-	N	1	-	-	-	U	
17355	20120814:0000	167	988.0	11.0	-	-	-	N	1	-	-	-	U	
17355	20120814:0000	226	981.0	11.8	-	-	-	N	1	-	-	-	U	
17355	20120814:0000	252	978.0	10.4	-	-	-	N	1	-	-	-	U	
17355	20120814:0000	589	939.0	8.0	-	-	-	N	1	-	-	-	U	
17355	20120814:0000	651	932.0	9.0	-	-	-	N	1	-	-	-	U	
17355	20120814:0000	678	929.0	7.4	-	-	-	N	1	-	-	-	U	
17355	20120814:0000	713	925.0	7.4	-	275	6.2	Y	0	0	3	P	U	
17355	20120814:0000	740	922.0	8.2	-	-	-	N	1	-	-	-	U	
17355	20120814:0000	947	899.0	5.8	-	-	-	N	1	-	-	-	U	
17355	20120814:0000	974	896.0	7.0	-	-	-	N	1	-	-	-	U	
17355	20120814:0000	1001	893.0	5.6	-	-	-	N	1	-	-	-	U	
17355	20120814:0000	1402	850.0	3.4	-	280	10.8	Y	0	0	2	P	U	
17355	20120814:0000	2948	700.0	-6.1	-	275	9.3	Y	1	0	2	P	U	
17355	20120814:0000	4796	549.0	-21.1	-	-	-	N	1	-	-	-	U	
17355	20120814:1200	7	1011.2	15.3	10.1	284	4.3	Y	4	4	-	H	U	
17355	20120814:1200	17	1010.0	15.8	-	-	-	N	1	-	-	-	U	
17355	20120814:1200	101	1000.0	14.8	-	295	5.7	Y	0	0	4	P	U	
17355	20120814:1200	202	988.0	12.6	-	-	-	N	1	-	-	-	U	
17355	20120814:1200	347	971.0	12.0	-	-	-	N	1	-	-	-	U	
17355	20120814:1200	381	967.0	10.4	-	-	-	N	1	-	-	-	U	
17355	20120814:1200	441	960.0	11.0	-	-	-	N	1	-	-	-	U	
17355	20120814:1200	476	956.0	9.6	-	-	-	N	1	-	-	-	U	
17355	20120814:1200	537	949.0	10.0	-	-	-	N	1	-	-	-	U	
17355	20120814:1200	563	946.0	8.6	-	-	-	N	1	-	-	-	U	
17355	20120814:1200	748	925.0	7.6	-	285	6.7	Y	0	0	2	P	U	
17355	20120814:1200	1220	873.0	3.0	-	-	-	N	1	-	-	-	U	
17355	20120814:1200	1436	850.0	2.4	-	305	7.7	Y	0	0	1	P	U	
17355	20120814:1200	2414	752.0	-3.9	-	-	-	N	1	-	-	-	U	
17355	20120814:1200	2435	750.0	-2.7	-	-	-	N	1	-	-	-	U	
17355	20120814:1200	2467	747.0	-4.5	-	-	-	N	1	-	-	-	U	
17355	20120814:1200	2978	700.0	-5.3	-	305	8.8	Y	1	0	1	P	U	
17355	20120814:1200	4180	599.0	-14.5	-	-	-	N	1	-	-	-	U	
17355	20120815:0000	7	1012.8	8.8	8.2	25	2.2	Y	4	4	-	H	U	
17355	20120815:0000	30	1010.0	11.6	-	-	-	N	1	-	-	-	U	
17355	20120815:0000	113	1000.0	11.6	-	340	8.8	Y	0	0	0	P	U	
17355	20120815:0000	358	971.0	10.8	-	-	-	N	1	-	-	-	U	
17355	20120815:0000	759	925.0	6.4	-	310	8.8	Y	0	0	1	P	U	
17355	20120815:0000	786	922.0	6.4	-	-	-	N	1	-	-	-	U	
17355	20120815:0000	2992	700.0	-6.1	-	315	10.8	Y	0	0	0	P	U	
17355	20120815:0000	3059	694.0	-6.1	-	-	-	N	1	-	-	-	U	
17355	20120815:1200	7	1010.8	15.5	11.6	43	7.9	Y	4	4	-	H	U	
17355	20120815:1200	14	1010.0	13.8	-	-	-	N	1	-	-	-	U	
17355	20120815:1200	98	1000.0	13.4	-	30	9.8	Y	0	0	4	P	U	
17355	20120815:1200	684	932.0	7.8	-	-	-	N	1	-	-	-	U	
17355	20120815:1200	746	925.0	8.2	-	5	14.9	Y	0	0	2	P	U	
17355	20120815:1200	1436	850.0	2.4	-	355	13.9	Y	0	0	1	P	U	
17355	20120815:1200	2975	700.0	-7.5	-	345	14.9	Y	1	0	1	P	U	
17355	20120816:1200	7	1012.2	14.4	10.3	265	7.3	Y	4	4	-	H	U	
17355	20120816:1200	109	1000.0	12.6	-	265	11.3	Y	0	0	3	P	U	
17355	20120816:1200	754	925.0	6.0	-	265	10.8	Y	0	0	1	P	U	
17355	20120816:1200	1251	870.0	1.4	-	-	-	N	1	-	-	-	U	
17355	20120816:1200	1438	850.0	0.6	-	270	10.3	Y	0	0	1	P	U	
17355	20120816:1200	2969	700.0	-8.5	-	270	12.9	Y	0	0	1	P	U	
17355	20120816:1200	4609	564.0	-19.5	-	-	-	N	1	-	-	-	U	
17355	20120817:1200	7	1016.5	14.1	10.1	240	2.6	Y	4	4	-	H	U	
17355	20120817:1200	61	1010.0	13.0	-	-	-	N	1	-	-	-	U	
17355	20120817:1200	144	1000.0	11.8	-	235	4.1	Y	0	0	5	P	U	
17355	20120817:1200	789	925.0	6.8	-	265	7.2	Y	0	0	2	P	U	
17355	20120817:1200	1381	860.0	1.4	-	-	-	N	1	-	-	-	U	
17355	20120817:1200	1475	850.0	1.0	-	275	8.2	Y	0	0	1	P	U	
17355	20120817:1200	2031	793.0	-0.3	-	-	-	N	1	-	-	-	U	
17355	20120817:1200	3018	700.0	-6.1	-	260	10.8	Y	0	0	0	P	U	
17355	20120817:1200	5515	504.0	-21.3	-	-	-	N	1	-	-	-	U	
17355	20120817:1200	5574	500.0	-21.3	-	265	16.5	Y	0	0	0	P	U	
17355	20120818:0000	7	1016.9	10.6	9.9	60	4.1	Y	4	4	-	H	U	
17355	20120818:0000	64	1010.0	11.4	-	-	-	N	1	-	-	-	U	
17355	20120818:0000	147	1000.0	11.2	-	55	3.6	Y	0	0	5	P	U	
17355	20120818:0000	731	932.0	8.4	-	-	-	N	1	-	-	-	U	
17355	20120818:0000	793	925.0	7.6	-	275	3.1	Y	0	0	2	P	U	
17355	20120818:0000	1484	850.0	3.6	-	315	10.3	Y	0	0	1	P	U	
17355	20120818:0000	2465	752.0	-3.1	-	-	-	N	1	-	-	-	U	
17355	20120818:1200	7	1020.3	16.5	12.7	262	6.1	Y	4	4	-	H	U	
17355	20120818:1200	177	1000.0	13.4	-	245	6.7	Y	0	0	6	P	U	
17355	20120818:1200	518	960.0	9.8	-	-	-	N	1	-	-	-	U	
17355	20120818:1200	675	942.0	10.0	-	-	-	N	1	-	-	-	U	
17355	20120818:1200	826	925.0	7.8	-	255	8.2	Y	0	0	3	P	U	
17355	20120818:1200	879	919.0	6.8	-	-	-	N	1	-	-	-	U	
17355	20120818:1200	1023	903.0	7.4	-	-	-	N	1	-	-	-	U	
17355	20120818:1200	1059	899.0	5.6	-	-	-	N	1	-	-	-	U	
17355	20120818:1200	1514	850.0	2.2	-	265	13.4	Y	0	0	2	P	U	
17355	20120818:1200	1980	802.0	-1.3	-	-	-	N	1	-	-	-	U	
17355	20120818:1200	2491	752.0	-2.7	-	-	-	N	1	-	-	-	U	
17355	20120818:1200	2575	744.0	-4.7	-	-	-	N	1	-	-	-	U	
17355	20120818:1200	3053	700.0	-6.3	-	265	17.0	Y	0	0	1	P	U	
17355	20120818:1200	3120	694.0	-5.5	-	-	-	N	1	-	-	-	U	
17355	20120818:1200	4197	604.0	-11.7	-	-	-	N	1	-	-	-	U	
17355	20120818:1200	5585	502.0	-22.5	-	-	-	N	1	-	-	-	U	
17355	20120818:1200	5614	500.0	-22.5	-	260	22.6	Y	0	0	0	P	U	
17355	20120819:0000	7	1021.4	11.1	10.9	34	2.0	Y	4	4	-	H	U	
17355	20120819:0000	10	1021.0	12.2	-	-	-	N	1	-	-	-	U	
17355	20120819:0000	184	1000.0	12.4	-	325	2.6	Y	0	0	6	P	U	
17355	20120819:0000	192	999.0	12.4	-	-	-	N	1	-	-	-	U	
17355	20120819:0000	3253	684.0	-7.1	-	-	-	N	1	-	-	-	U	
17355	20120819:1200	7	1019.0	15.6	13.4	31	4.1	Y	4	4	-	H	U	
17355	20120819:1200	57	1013.0	15.0	-	-	-	N	1	-	-	-	U	
17355	20120819:1200	166	1000.0	15.2	-	25	5.1	Y	0	0	6	P	U	
17355	20120819:1200	820	925.0	10.8	-	325	8.2	Y	0	0	3	P	U	
17355	20120819:1200	1112	893.0	8.8	-	-	-	N	1	-	-	-	U	
17355	20120819:1200	1517	850.0	5.4	-	330	8.8	Y	0	0	2	P	U	
17355	20120819:1200	1958	805.0	1.8	-	-	-	N	1	-	-	-	U	
17355	20120819:1200	3071	700.0	-4.5	-	305	16.5	Y	0	0	1	P	U	
17355	20120819:1200	3310	679.0	-5.1	-	305	15.4	N	1	1	-	H	U	
17355	20120819:1200	3626	652.0	-9.9	-	-	-	N	1	-	-	-	U	
17355	20120819:1200	5600	502.0	-21.1	-	-	-	N	1	-	-	-	U	
17355	20120819:1200	5629	500.0	-21.1	-	285	20.1	Y	0	0	0	P	U	
17355	20120820:1200	7	1006.8	16.4	11.4	304	10.0	Y	4	4	-	H	U	
17355	20120820:1200	14	1006.0	15.6	-	-	-	N	1	-	-	-	U	
17355	20120820:1200	65	1000.0	14.8	-	290	9.8	Y	0	0	6	P	U	
17355	20120820:1200	716	925.0	9.2	-	275	14.4	Y	0	0	3	P	U	
17355	20120820:1200	1379	853.0	3.0	-	-	-	N	1	-	-	-	U	
17355	20120820:1200	1408	850.0	3.4	-	275	17.0	Y	0	0	2	P	U	
17355	20120820:1200	2924	703.0	-4.7	-	-	-	N	1	-	-	-	U	
17355	20120820:1200	2958	700.0	-5.7	-	275	25.7	Y	0	0	1	P	U	
17355	20120820:1200	5472	502.0	-24.5	-	-	-	N	1	-	-	-	U	
17355	20120820:1200	5501	500.0	-24.5	-	270	24.7	Y	0	0	1	P	U	
17355	20120821:1200	7	1010.1	14.7	12.1	228	7.2	Y	4	4	-	H	U	
17355	20120821:1200	8	1010.0	14.4	-	-	-	N	1	-	-	-	U	
17355	20120821:1200	66	1003.0	12.4	-	-	-	N	1	-	-	-	U	
17355	20120821:1200	91	1000.0	12.8	-	225	11.8	Y	0	0	5	P	U	
17355	20120821:1200	738	925.0	7.6	-	215	10.8	Y	0	0	2	P	U	
17355	20120821:1200	1332	860.0	2.8	-	-	-	N	1	-	-	-	U	
17355	20120821:1200	1426	850.0	2.2	-	225	13.9	Y	0	0	2	P	U	
17355	20120821:1200	2340	758.0	-4.1	-	-	-	N	1	-	-	-	U	
17355	20120821:1200	2403	752.0	-3.1	-	-	-	N	1	-	-	-	U	
17355	20120821:1200	2967	700.0	-5.7	-	220	11.8	Y	1	0	1	P	U	
17355	20120821:1200	4167	599.0	-14.9	-	-	-	N	1	-	-	-	U	
17355	20120822:1200	7	1019.4	15.4	10.8	226	4.7	Y	4	4	-	H	U	
17355	20120822:1200	169	1000.0	13.0	-	225	6.7	Y	0	0	6	P	U	
17355	20120822:1200	329	981.0	10.8	-	-	-	N	1	-	-	-	U	
17355	20120822:1200	815	925.0	7.2	-	195	6.7	Y	0	0	3	P	U	
17355	20120822:1200	1103	893.0	4.4	-	-	-	N	1	-	-	-	U	
17355	20120822:1200	1503	850.0	2.4	-	200	7.7	Y	0	1	2	P	U	
17355	20120822:1200	2060	793.0	-1.1	-	-	-	N	1	-	-	-	U	
17355	20120822:1200	2568	744.0	-1.3	-	-	-	N	1	-	-	-	U	
17355	20120822:1200	3049	700.0	-6.1	-	230	7.7	Y	1	0	1	P	U	
17355	20120823:1200	7	1024.3	12.5	10.9	225	2.2	Y	4	4	-	H	U	
17355	20120823:1200	34	1021.0	13.2	-	-	-	N	1	-	-	-	U	
17355	20120823:1200	208	1000.0	12.4	-	360	0.5	Y	0	0	7	P	U	
17355	20120823:1200	250	995.0	11.0	-	-	-	N	1	-	-	-	U	
17355	20120823:1200	334	985.0	12.0	-	-	-	N	1	-	-	-	U	
17355	20120823:1200	487	967.0	9.2	-	-	-	N	1	-	-	-	U	
17355	20120823:1200	547	960.0	10.4	-	-	-	N	1	-	-	-	U	
17355	20120823:1200	791	932.0	6.6	-	-	-	N	1	-	-	-	U	
17355	20120823:1200	853	925.0	7.4	-	90	1.5	Y	0	0	4	P	U	
